epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.996,1.22138,2.40102,1.76516,0.30719,0.5,0.41777,0.21337,1.34691,21.2565,2.69913,0.000541044,0.000541044,0.000541044
2,39.0909,1.56555,2.78568,2.00012,0.03514,0.5,0.04155,0.00945,2.81512,27.1989,4.31229,0.00108947,0.00108947,0.00108947
3,55.7981,1.85405,2.72605,2.17013,0.00415,0.25,0.00267,0.00027,4.34398,65.5537,6.72253,0.00163057,0.00163057,0.00163057
4,72.3306,2.19927,2.78031,2.56678,0.06634,0.5,0.42233,0.0845,2.57067,33.6668,6.54802,0.00163399,0.00163399,0.00163399
5,88.6784,2.64226,3.08889,2.89707,0,0,0,0,4.39273,1180.18,14.7656,0.00162299,0.00162299,0.00162299
6,105.153,2.41552,2.91452,2.71607,0.19298,0.75,0.24157,0.10655,2.04447,236.124,8.54606,0.00161199,0.00161199,0.00161199
7,121.624,2.25868,2.64527,2.44728,0.00434,0.75,0.00445,0.00053,3.94091,1458.58,10.6872,0.00160099,0.00160099,0.00160099
8,137.973,2.30298,2.68996,2.71035,0.07408,0.75,0.13886,0.01389,3.83183,75.8059,14.3137,0.00158998,0.00158998,0.00158998
9,154.367,2.0909,2.50407,2.42587,0.05499,1,0.17413,0.07501,1.93942,76.0356,7.36745,0.00157898,0.00157898,0.00157898
10,170.883,1.86119,2.32435,2.16341,0.54483,0.5,0.08015,0.04351,1.73935,11.7416,4.16922,0.00156798,0.00156798,0.00156798
11,187.266,1.86767,2.36573,2.20194,0.94541,0.25,0.32147,0.06464,2.42002,5.38609,3.5496,0.00155698,0.00155698,0.00155698
12,203.758,1.66952,2.1996,2.06804,0.5552,0.5,0.13326,0.05149,1.96073,10.6442,4.29921,0.00154598,0.00154598,0.00154598
13,220.197,1.59492,2.04645,1.95172,0.01815,0.75,0.04825,0.01828,1.63692,4.40154,2.94631,0.00153497,0.00153497,0.00153497
14,236.656,1.65624,2.11352,2.06531,0.03108,1,0.04146,0.0182,1.7812,5.4715,2.81306,0.00152397,0.00152397,0.00152397
15,253.036,1.59731,1.94632,2.03253,0.00424,1,0.04776,0.01574,2.13388,2.82097,2.97774,0.00151297,0.00151297,0.00151297
16,269.663,1.58237,1.9419,1.98522,0.01897,0.75,0.14631,0.01823,3.46573,2.7439,3.59444,0.00150197,0.00150197,0.00150197
17,286.355,1.6443,1.9509,1.95165,0.59298,0.25,0.11821,0.06745,2.10432,3.04266,2.76725,0.00149096,0.00149096,0.00149096
18,303.081,1.46484,1.82233,1.8518,0.00385,0.25,0.00661,0.00198,4.45309,4.25525,5.22141,0.00147996,0.00147996,0.00147996
19,319.645,1.47089,1.75432,1.94253,0.95387,0.5,0.66333,0.403,1.51489,2.07888,2.76448,0.00146896,0.00146896,0.00146896
20,336.186,1.38909,1.63956,1.77105,0.3007,1,0.74625,0.39065,1.58215,3.581,2.90319,0.00145796,0.00145796,0.00145796
21,352.586,1.34263,1.62924,1.77626,0.25139,1,0.53854,0.30812,1.52453,2.65687,2.62825,0.00144696,0.00144696,0.00144696
22,369.033,1.24521,1.51693,1.6476,0.96992,0.5,0.66333,0.39427,1.19445,1.72453,2.17461,0.00143595,0.00143595,0.00143595
